player,team,pos,age,salary,netrtg,astpct,rebpct,ts,usg,followers,tov,ftar,vorp,ortg,drtg,orebpct,drebpct,efg,pts,twitter,bpm,ws
Dennis Schroder,ATL,PG,23,2.7,-2,0.34,0.054,0.533,0.276,0.044,0.163,0.21,1.3,103.4,105.4,0.019,0.088,0.493,17.9,1,0,3.7
Draymond Green,GSW,PF,27,15.33,15.9,0.272,0.132,0.522,0.16,0.911,0.198,0.328,4.3,115.2,99.3,0.046,0.205,0.481,10.2,1,4.9,8.2
Jusuf Nurkic,POR,C,22,1.92,-2.1,0.142,0.182,0.528,0.235,0.031,0.186,0.393,0.4,104.4,106.5,0.124,0.236,0.507,15.2,1,-0.9,2
Elfrid Payton,ORL,PG,23,12.8,-2.7,0.329,0.086,0.52,0.213,0.05,0.15,0.231,1.7,104.7,107.5,0.039,0.136,0.493,12.8,1,0.8,4.4
Richaun Holmes,PHI,C,23,1.07,-7.6,0.081,0.143,0.611,0.188,0.01,0.107,0.25,0.9,102.4,110,0.087,0.198,0.591,9.8,1,1,3.8
Michael Beasley,MIL,PF,28,0.31,-1.6,0.096,0.12,0.584,0.248,0.064,0.127,0.259,0.3,106.9,108.5,0.051,0.186,0.554,9.4,1,-0.8,1.8
Brandan Wright,MEM,PF,29,5.7,3.9,0.06,0.097,0.628,0.166,0.074,0.062,0.259,0.4,106.1,102.3,0.078,0.115,0.615,6.8,1,1.7,1.6
Ricky Rubio,MIN,PG,26,13.4,-1,0.385,0.072,0.539,0.174,2.23,0.201,0.438,1.8,108.9,109.9,0.032,0.112,0.448,11.1,1,0.9,6.1
Marreese Speights,LAC,C,29,1.04,-2.4,0.085,0.161,0.584,0.239,0.244,0.102,0.25,0.9,106,108.4,0.077,0.245,0.539,8.7,1,0.6,4.2
Danilo Gallinari,DEN,SF,28,15.05,2.7,0.09,0.084,0.622,0.2,0.711,0.082,0.516,1.9,112.1,109.4,0.021,0.144,0.531,18.2,1,1.4,6.8
Thomas Robinson,LAL,PF,26,1.05,-7.5,0.088,0.225,0.535,0.206,0.126,0.17,0.337,0,103.6,111.2,0.158,0.304,0.536,5,1,-2.1,0.9
Tobias Harris,DET,PF,24,16,-1.3,0.087,0.089,0.568,0.218,0.022,0.076,0.213,2.3,104.3,105.5,0.026,0.155,0.532,16,1,1.6,6.8
Julius Randle,LAL,PF,22,3.28,-10.2,0.195,0.161,0.543,0.215,0.358,0.162,0.365,0.6,103.1,113.3,0.074,0.254,0.499,13.2,1,-0.9,3.5
Cheick Diallo,NOP,PF,20,1.31,-9.4,0.031,0.195,0.51,0.203,0.015,0.076,0.276,-0.1,101.5,110.9,0.115,0.286,0.474,5.1,1,-3.7,0.5
Harrison Barnes,DAL,PF,25,3.87,-2.1,0.076,0.082,0.541,0.255,0.597,0.068,0.22,0.8,103.6,105.7,0.037,0.132,0.498,19.2,1,-0.8,4.6
