"","Happiness Score","GNI per capita, Atlas method (current US$)","Government expenditure on education, total (% of GDP)","Individuals using the Internet (% of population)","Life expectancy at birth, total (years)","Nurses and midwives (per 1,000 people)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Population growth (annual %)","Urban population (% of total population)"
"119",3.904,1320,5.45637989,27,66.747,0.1919,44.34080072,2.80841559,45.862
"120",5.123,5960,3.789020061,65.3170254,75.28780488,7.6174,26.95437789,-0.494772574,55.696
"121",4.507,550,7.702,6.344421603,52.941,0.2,22.52859793,2.181626694,40.829
"122",6.798,53160,2.854,79.012957,82.74390244,6.0092,20.66338947,1.186376937,100
"123",5.995,17670,4.599540234,77.63468203,76.56341463,6.0093,18.8026457,0.095033879,53.889
"124",5.848,22250,4.909530163,73.09865997,80.77560976,8.8244,17.12815192,0.075190689,53.781
"125",4.642,6050,5.956190109,51.91911572,62.649,1.2693,26.11297177,1.528926307,64.828
"126",5.984,28430,4.286570072,78.68963187,82.83170732,5.2608,10.44910241,-0.077588862,79.602
"127",6.329,3760,2.22874999,12.1,76.316,1.9606,25.33734371,0.919811027,18.256
"128",4.271,1690,2.219,26.61,64.429,0.8245,58.90478573,2.407212277,33.894
"129",4.55,8690,3,42.76382778,71.249,2.0873,25.9732844,1.05537038,66.056
"130",6.269,58250,7.443900108,90.61019664,82.20487805,11.7224,6.322498333,1.057454686,86.553
"131",7.364,85800,5.100570202,87.4790556,82.89756098,16.8618,11.16525468,1.138337152,73.718
"132",7.587,681,5.13,29.97979724,69.908,1.5,44.31390854,-3.913350021,52.168
"133",3.006,1250,5.231389999,18.98,70.137,4.8,47.79297353,2.408647884,26.742
"134",4.786,980,3.696,20,63.111,0.6,28.2404487,3.00254051,31.617
"135",3.781,5710,4.124,39.31612674,76.091,2.3683,27.34456692,0.402150718,47.694
"136",6.455,640,5.10860014,7.12,59.927,0.3018,38.35682101,2.560945092,40.1
"137",2.839,19130,3.137,69.19847061,72.941,3.4832,24.8980769,0.584484971,53.319
"138",6.168,3960,6.596010208,46.49999434,75.922,2.67,36.30424932,1.049753044,68.056
"139",4.739,11960,2.751,53.74497914,76.532,2.6218,45.4015556,1.666051682,73.611
"140",5.332,7030,5,14.99677482,67.704,4.4,22.97054002,1.79414627,50.317
"141",5.548,830,2.340490103,17.83485947,61.373,1.5565,48.94936019,3.496089167,22.06
"142",3.931,2700,5.412,48.88464368,71.1895122,6.7,21.24645457,-0.261251889,69.061
"143",4.681,42860,4,90.5,77.285,4.9828,42.33499,0.52741154,85.674
"144",6.901,44290,5.556159973,92.00029987,80.95609756,8.2936,10.75487287,0.792367506,82.626
"145",6.867,56740,4.962,74.55420245,78.6902439,8.55,8.063920222,0.730641178,81.671
"146",7.119,15640,5.048,64.5707871,77.369,1.9,9.65945432,0.339819684,95.045
"147",6.485,2600,5.786379814,42.8,70.928,11.3,30.3943319,1.744258375,50.75
"148",6.003,13080,3.627,64,72.584,0.9,18.30300574,0.1220584,88.154
"149",6.81,1970,4.167,45,75.11,1.4228,32.46644382,1.043962275,33.809
"150",5.36,3380,5.141359806,57.42419241,73.442,2.7,33.89141151,2.290480058,75.368
"151",4.077,1150,5.151,24.08540947,66.085,0.7242,54.26028666,2.578072024,34.777
"152",5.129,1580,4.62432003,21,61.737,1.3,28.37545168,3.066874538,41.907
"153",4.61,1280,5.871,22.7428181,59.534,1.3825,21.73370858,1.663812851,32.385
